Description;demarche en ligne;compte ou espace personnel;Description_2;Description_3;clusters
3 mois que j essaie d avoir un p tain de rdv telephonique pour pouvoir faire une formation  sur le site il n ont jamais de rdv telephonique de disponible   oui depuis 3 mois je regarde tout les jours     un jour ils ont reussi a appeler ma mere alors qu il ont tres bien mon numero   c est aberrant   honteux   ;1;0;['p', 'tain', 'rdv', 'format', 'rdv', 'regard', 'mer', 'aberr'];p tain rdv format rdv regard mer aberr;2
5 mois d attente et des centaines de cv envoye  je n ai jamais eu d aide de leurs parts  et en plus ils insinuent que je ne cherche pas de travail ;1;0;['centain', 'part', 'insinuent'];centain part insinuent;-1
nous deposons une offre d emploi en ligne en fournissant les documents demandes et en remplissant la fiche contact relative a l offre d emploi avec le numero de la personne a joindre en cas de besoins hors ils n ont jamais pris la peine a nous appeler a ce numero pour le besoin d un kbis et d une photocopie de la carte d identite mais sur un numero que nous ne leur avions pas fournis et qu ils avaient trouve sur internet      heureusement des plateformes avec des employes bien plus competents nous ont aider a trouver de la main d uvre  est il serieux de proposer a une entreprise de l aider a recruter du personnel competant quand meme vous n etes pas en mesure d en trouver pour votre structure    c est quand meme la deuxieme fois    desolant ;1;0;['deposon', 'offre', 'docu', 'contact', 'offre', 'person', 'besoin', 'hor', 'kbis', 'photocop', 'identit', 'internet', 'plateform', 'competent', 'main', 'uvre', 'personnel', 'compet', 'structur', 'desol'];deposon offre docu contact offre person besoin hor kbis photocop identit internet plateform competent main uvre personnel compet structur desol;-1
ne dependant pas de cette agence ou j ai du me rendre 2 fois pour des renseignements administratifs  chute ayant declenche un arret de travail puis reinscription en ligne   j ai ete a chaque fois tres bien accueillie et renseignee  un personnel disponible et efficace comme ce n est malheureusement pas toujours le cas dans certaines agences de la gironde  regles sanitaires liees au covid scrupuleusement appliquees ;1;0;['depend', 'agenc', 'administr', 'chut', 'declench', 'reinscript', 'renseigne', 'personnel', 'agenc', 'girond', 'sanitair', 'lie', 'covid', 'scrupul', 'applique'];depend agenc administr chut declench reinscript renseigne personnel agenc girond sanitair lie covid scrupul applique;1
ha      on a supprime mon avis aussi  quelle honte d avoir recours a ces guignols et surtout   ils ont tellement honte de laisser les avis des gens   qu ils les suppriment  toujours pareil ils ne servent a rien   ;1;0;['ha', 'recour', 'guignol', 'suppr', 'pareil'];ha recour guignol suppr pareil;-1
vu que pole emploi supprime les commentaires qui dit la verite sur eux  je vais faire simple  une catastrophe  incapable de vous trouver du travail et ne parlons pas du chomage   il ne faut rien leurs demander  sinon vous pouvez etre sur qui n hesiterons pas a vous faire des trop percus a gogo et si il peuvent eviter ou repousser de payer ils le feront  ;1;0;['commentair', 'parlon', 'chomag', 'hesit', 'percus', 'gogo', 'repouss', 'pai', 'feront'];commentair parlon chomag hesit percus gogo repouss pai feront;2
pole emploi une catastrophe  ils calculent vos allocations  font des erreurs et vous informe par la suite que vous etes redevable d un trop percu dans un delai de 2 mois 7 mois apres le versement  c est honteux et lamentable de mettre des gens qui se demenent pour travailler dans de telles situations  ;1;0;['calculent', 'alloc', 'redev', 'demenent', 'tel'];calculent alloc redev demenent tel;0
bonjour  au chomage au bout de 37 ans  franchemant j avais peur de venir a polemploi pourtant  le jeune homme de l accueil m a tres bien accueilli est respectueux et il a pris du temps pour m aider a laccueil pour mes papiers et sur internet  pour me dire ce quil fallait faire  les conseils vont maider pour plus tards plus sereinement dommage qu on peuve pas choisir le conseille domage sa manque de gens comme ca qui rassures et qui ecoute bien;1;0;['chomag', '37', 'franchem', 'peur', 'polemploi', 'jeun', 'homm', 'respectu', 'laccueil', 'internet', 'tard', 'serein', 'peuv', 'domag', 'rassur'];chomag 37 franchem peur polemploi jeun homm respectu laccueil internet tard serein peuv domag rassur;2
je sais pas si ya pire qu eux  jamais jbai vue ma conseillere en un an d inscription  et je suis radiee a cause d un rdv que moi meme j ai pris sur le site et le jour j j ai pas pu aller  j ai bien prevenu la personne au telephone qui m avait dit y a aucun soucis ;1;0;['ya', 'jbai', 'radie', 'rdv', 'prevenu', 'person', 'souc'];ya jbai radie rdv prevenu person souc;2
bonjour il faudrait mettre a jour votre adresse  car 2 adresse fausses ;1;0;[];;0
un ets tout neuf tout beau tout propre    pas de changement sinon  n oubliez pas votre identifiant a l entree;1;0;['et', 'neuf', 'propr', 'identifi', 'entre'];et neuf propr identifi entre;-1
un peu de professionnalisme ne peut pas faire de mal quand vous changez de locaux  au lieu d indiquer simplement fermeture definitive ajoutez l adresse du nouveau lieu d implantation apparemment les nouveaux locaux certes propres et lumineux sont toujours aussi bazard pour le guidage des clients durant sa vie professionnelle on cotise pourtant pas mal faites donc appel a des professionnels de l accueil pour savoir comment les gerer et pas a des pseudo experts de vos organismes nationaux  autrement apres trois files d attente on a regle mon probleme    ;1;0;['professionnal', 'chang', 'fermetur', 'definit', 'ajout', 'implant', 'apparent', 'cert', 'propr', 'lumin', 'bazard', 'guidag', 'pseudo', 'expert', 'national', 'autr', 'fil'];professionnal chang fermetur definit ajout implant apparent cert propr lumin bazard guidag pseudo expert national autr fil;-1
pole emploi me demande un rib pour avoir mes indemnites  je l ai envoye le 29 septembre sur mon espace ils l ont receptionne  a ce jour rien est fait  j appelle chaque jour on me dit une minute d attente et je me retrouve a attendre 30 min alors que j appelle sur mon temps de travail  inacceptable qu il faut 15 jours afin de traiter une demande ;0;1;['rib', 'indemnit', '29', 'reception', 'min', 'inaccept'];rib indemnit 29 reception min inaccept;-1
effectivement  les conseillers ne vous aide pratiquement pas et vous refilent une formation qui n est en fait pas forcement necessaire  la plupart des offres ne vous correspondent pas si vous n avez aucun diplome et tres peu d experience  apres ca  on s etonne qu il y a autant de chomeurs  ben tiens   ;1;0;['effect', 'pratiqu', 'refilent', 'format', 'plupart', 'offre', 'correspondent', 'eton', 'ben'];effect pratiqu refilent format plupart offre correspondent eton ben;-1
jeune chomeuse suite a la fin d un contrat d apprentissage  mais je n ai pas attendu pole emploi pour me construire un projet  cependant  j ai besoin d une formation pour atteindre mes objectifs  j ai donc demande a pole emploi un financement  avec une loooongue justification  tres detaillee  financement qui m a ete refuse  pole emploi ne va pas m aider a financer mon projet  pas meme de 1 centime  sans me fournir une quelconque raison  mais a qui est donc attribue le budget formation  si ce n est pas a ceux qui veulent sortir du chomage au plus vite  et qui justifient parfaitement leur demande de formation     j ai cotise comme tout le monde  je comprends pas pourquoi je n ai meme pas droit a quelques euros  pendant que d autres se font payer leur s  formation s  de a a z  vous vous doutez bien qu avec un salaire de chomeur  c est difficile de financer soi meme une formation  formation de 4000  pour ma part  merci les cpf       donc finalement  quels sont les objectifs de pole emploi     enfin bref  pour rentabiliser un peu plus mes cotisations  je ne vais pas me presser a trouver du travail  et profiter du systeme un peu plus longtemps que prevu ;1;0;['jeun', 'chomeux', 'contrat', 'apprentissag', 'attendu', 'construir', 'cepend', 'format', 'atteindr', 'object', 'financ', 'loooongu', 'justif', 'detaille', 'financ', 'financ', 'centim', 'quelconqu', 'attribu', 'budget', 'format', 'veulent', 'chomag', 'justifient', 'format', 'euros', 'pai', 'format', 'z', 'dout', 'salair', 'financ', 'soi', 'format', 'format', '4000', 'cpf', 'object', 'rentabilis', 'press', 'profit', 'system', 'longtemp', 'prevu'];jeun chomeux contrat apprentissag attendu construir cepend format atteindr object financ loooongu justif detaille financ financ centim quelconqu attribu budget format veulent chomag justifient format euros pai format z dout salair financ soi format format 4000 cpf object rentabilis press profit system longtemp prevu;2
depuis que j ai emmenage dans le coin en 2009  c est la 2 eme fois que suis inscrite dans cette agence apres un chomage et a chaque fois je galere avec eux  ils ne veulent pas payer  ne disent rien  on actualise  on envoi les papiers via leur appli  c est pris en compte  macaron vert  puis rien  on a pas de motif  ils ne disent rien  pas de notification pour dire quoique ce soit  j ai recu le chomage un mois sur 2 et je n arrive pas a joindre mon conseiller  je suis createur d entreprise quand on envoie notre immatriculation sur le bon onglet   createur d entreprise  justificatif d immatriculation   ils le refusent     j ai contacte une autre agence de moselle  ils comprennent pas ce qui se passent avec mon dossier ;0;1;['emmenag', 'coin', '2009', 'eme', 'inscrit', 'agenc', 'chomag', 'galer', 'veulent', 'pai', 'disent', 'appli', 'compt', 'macaron', 'vert', 'disent', 'quoiqu', 'chomag', 'createur', 'immatricul', 'onglet', 'createur', 'justif', 'immatricul', 'refusent', 'contact', 'agenc', 'mosel', 'comprennent', 'passent', 'dossi'];emmenag coin 2009 eme inscrit agenc chomag galer veulent pai disent appli compt macaron vert disent quoiqu chomag createur immatricul onglet createur justif immatricul refusent contact agenc mosel comprennent passent dossi;2
modification constantes de leurs horaires et jours d ouverture et le service telephonique nous fait croire que de 8h a 12h30 tous leurs conseillers sont deja en ligne     donc au final je n arrive jamais a avoir quelqu un pour m aider  par contre pour nous envoyer des mails le samedi alors que tout est ferme et nous dire le lundi suivant que nous avons trop mis de temps pour leur repondre la c est les champions   possible que je tombe toujours sur la personne incompetente car j en entend du bien mais a un moment donne il y a de quoi peter un cable  ;1;0;['const', 'horair', 'ouvertur', 'servic', '8h', '12h30', 'samed', 'ferm', 'lund', 'champion', 'person', 'incompetent', 'entend', 'cabl'];const horair ouvertur servic 8h 12h30 samed ferm lund champion person incompetent entend cabl;-1
apres une question posee sur le site internet  une conseillere m a recontacte des le lendemain matin en me laissant un message  je n ai pas pu vous remercier donc merci pour toutes vos informations bien precises  tres professionnel ;1;0;['pose', 'internet', 'recontact', 'lendemain', 'remerci'];pose internet recontact lendemain remerci;-1
quand j entendais parler mes collegues sur pole emploi c etait une longue histoire mais je peux vous dire le contraire au pole emploi du pharo ils sont vraiment magnifique mon dossier a ete traite en 48h j y crois pas encore;1;0;['entend', 'collegu', 'histoir', 'pharo', 'magnif', 'dossi', '48h', 'crois'];entend collegu histoir pharo magnif dossi 48h crois;-1
tout le temps ferme  ;1;0;['ferm'];ferm;0
j ai du mettre une etoile pour pouvoir dire que c est honteux que des personnes malade on autan de difficulte pour pouvoir toucher leurs allocation chomage juste parce qu ils ne veulent pas faire une photocopie et la plate forme pareil juste une honte     moin j en fais mieux je me porte  ;1;0;['person', 'malad', 'autan', 'alloc', 'chomag', 'veulent', 'photocop', 'plat', 'pareil', 'moin'];person malad autan alloc chomag veulent photocop plat pareil moin;2
mauvais tres mauvais  je cree mon compte  pour la troisieme fois  incapable d enregistre mon compte bravo les flemmardes   on m envoie le mail de confirmation  reponse   404 erreur la page que vous avez demander n est pas disponible     et dire que je doit m inscrire apres mes probleme de sante  eh beh    ;0;1;['mauv', 'mauv', 'compt', 'troisiem', 'compt', 'flemmard', 'repons', '404', 'sant', 'eh', 'beh'];mauv mauv compt troisiem compt flemmard repons 404 sant eh beh;2
experience catastrophique  en arret maladie depuis le 28 01 2021  pole emploi n est pas capable d enregistrer correctement mes documents pour les transmettre a la securite sociale  j ai renouvele 3 fois les envois avec des documents parfaitement lisibles  leur reponse est systematique   documents non pris en compte illisibles  de plus  la transmission en direct sur leur site ne fonctionne jamais depuis plusieurs moi   c est une cage a clows  je suis excede;1;0;['malad', '01', 'capabl', 'docu', 'securit', 'renouvel', 'envois', 'docu', 'lisibl', 'repons', 'docu', 'compt', 'illisibl', 'cag', 'clow', 'exced'];malad 01 capabl docu securit renouvel envois docu lisibl repons docu compt illisibl cag clow exced;2
le pire des endroits pour un demandeur d emploi reconnu travailleur handicape a peine arrive je suis deja pris pour un demeurer avant meme d avoir ouvert la bouche  si vous voulez etre sur d avoir un rdv il faut venir directement sur place  sauf qu hyronie du sort seul les gens qui ont le permis peuvent y acceder  il y a effectivement un arret de bus sauf que l arret est desservi sur une ligne flexo se qui signifie qu une fois sur place lors du retour t es pas sur d avoir un bus meme si ton bus est prevu a heure fixe;1;0;['endroit', 'reconnu', 'travailleur', 'handicap', 'demeur', 'ouvert', 'bouch', 'rdv', 'hyron', 'effect', 'bus', 'desserv', 'flexo', 'signif', 'bus', 'bus', 'prevu', 'fix'];endroit reconnu travailleur handicap demeur ouvert bouch rdv hyron effect bus desserv flexo signif bus bus prevu fix;-1
bonjour  je partage mon experience degoutante avec pole emploi de chelles  j envoie le mail a ma conseille jamais une reponse au retour  j appelle 3949 pour ma situation  j aimai qu on me donne le meme reponse quand meme on est dans une service d etat   aucune possibilite de prendre rendez vous sur espace personnel ni en agence  c est pas normal qu on souffre pour nos droits  dans le cas contraire vous avez tout le courage du monde derriere nous  merci de prendre la situation des gens au serieux  c est le seul agence que je connais dans ma vie qu il y a aucune possibilite de contacter avec ton conseille  et j aimerais pas avoir d autres je conseil a mes ennemis;0;1;['partag', 'degout', 'chel', 'repons', '3949', 'repons', 'servic', 'personnel', 'agenc', 'souffr', 'courag', 'derrier', 'agenc', 'contact', 'ennem'];partag degout chel repons 3949 repons servic personnel agenc souffr courag derrier agenc contact ennem;1
certaines employees sont desagreables et crient sur tout le monde des 9h du matin  si vous n aimez pas etre en contact avec du public faites un autre travail      ;1;0;['employe', 'crient', '9h', 'contact'];employe crient 9h contact;1
je n arrive pas a me connecter;0;1;['connect'];connect;0
une honte cette agence  selon l equipe de l accueil on vous crie dessus quand vous appelez pour savoir ce qu il se passe sur votre dossier puisque personne ne fait rien  conseillers aux abonnes absents  versement d allocations toujours en retard on vous trouve des problemes pour vous sucrer le peu de droit qu il vous reste  une  gestion qui fait peur  jamais la possibilite de prendre des rendez vous  3 mois inscrite  toujours pas recu l integralite de mes versements et ils se font toujours avec 2 a 3 semaines de retard  fuyez ou courage a vous ;0;1;['agenc', 'selon', 'equip', 'cri', 'dessus', 'dossi', 'person', 'abon', 'absent', 'alloc', 'retard', 'sucr', 'gestion', 'peur', 'inscrit', 'integralit', 'retard', 'fui', 'courag'];agenc selon equip cri dessus dossi person abon absent alloc retard sucr gestion peur inscrit integralit retard fui courag;1
je suis vraiment choquee je vient de me faire raccrocher au nez par une dame  parce que je lui est dit que ma demande d inscription qui date de 2ans est toujours pas valide et je ne n arrive pas joindre mon conseiller ni avoir un rendez vous elle ose mentir et dire que   non madame je vois bien que vous etes deja inscrite   alors que c est faux avant de finir de parler elle m a raccroche au nez pathetique;0;1;['choque', 'vient', 'raccroch', 'nez', '2an', 'ose', 'ment', 'vois', 'inscrit', 'raccroch', 'nez', 'pathet'];choque vient raccroch nez 2an ose ment vois inscrit raccroch nez pathet;-1
personnelles desagreables a l accueil et par telephone  mes experiences avec l etablissement sont toujours horrible  l accueil ne fourni jamais des explications l unique reponse a votre probleme c est toujours  il faudra faire un reclamation en ligne    pour une personne qui se deplace express ce n est pas suffisant  j espere que ma remarque puisse apporter un amelioration  bonne journee;1;0;['personnel', 'etabl', 'horribl', 'uniqu', 'repons', 'reclam', 'person', 'express', 'remarqu', 'apport'];personnel etabl horribl uniqu repons reclam person express remarqu apport;1
aucune remise en question  inscription fin octobre  impossible d avoir un contact avec son conseiller  aucune indemnisation car soit disant pas recu les elements et il me raccroche au nez parce que je suis en colere     vous devez gerer de l humain et arretez de vous cacher derriere l outil informatique pour expliquer les rates    vous n y etes pour rien  je n y suis pour rien  on trouve des solutions   ;0;1;['remis', 'contact', 'indemnis', 'element', 'raccroch', 'nez', 'coler', 'cach', 'derrier', 'rat', 'solut'];remis contact indemnis element raccroch nez coler cach derrier rat solut;0
j essaie de me reinscrire a pole emploi  j ai deja fourni 2 fois le document manquant  la 1er fois vous l avez perdu  et apparemment je dois le refournir    il vous faut en combien d exemplaire le meme document    on m exige de me deplacer encore pour le donner  sans permis  pas de bus et ne connaissant personne dans la region je ne peux pas me deplacer a un endroit a 20 km de chez moi  mon conjoint travaille la semaine maintenant donc je n ai pas cette possibilite  personne ne veut rien savoir  du coup je n ai pas de sous  mon droit au chomage  et je ne peux meme pas aller a pied car j ai mon fils de 3 mois  merci   ;0;1;['reinscrir', 'docu', 'apparent', 'refourn', 'combien', 'exemplair', 'docu', 'bus', 'person', 'region', 'endroit', 'km', 'conjoint', 'person', 'chomag', 'pied', 'fil'];reinscrir docu apparent refourn combien exemplair docu bus person region endroit km conjoint person chomag pied fil;2
on est clairement sur le pire pole emploi de france et de navarre  des problemes et des incoherences administratives du debut a la fin  des reponses avec trois semaines de retard  une courtoisie a faire fuir un colon   un tresorerie adepte des trop percu imaginaire et un accompagnement aussi efficace qu un gouvernement en tant de crise   vraiment ne changez rien  vous etes un exemple a ne pas suivre ;0;1;['navarr', 'incoherent', 'administr', 'repons', 'retard', 'courtois', 'fuir', 'colon', 'tresorer', 'adept', 'imaginair', 'gouvern', 'cris', 'chang'];navarr incoherent administr repons retard courtois fuir colon tresorer adept imaginair gouvern cris chang;2
toujours complique pour etre indemnise 2 mois de retard et c est a moi de toujours appeler pour debloquer la situation et on me dit  ah oui effectivement   j attends encore  impossible d avoir un rdv a l agence pour discuter de ma situation professionnelle vive les rapports humains;0;1;['indemnis', 'retard', 'debloqu', 'ah', 'effect', 'attend', 'rdv', 'agenc', 'discut', 'viv', 'rapport'];indemnis retard debloqu ah effect attend rdv agenc discut viv rapport;-1
agence a dimension humaine  sans file d attente  rdv possibles a breve echeance  avec possibilite de les prendre directement par pole emploi fr;1;0;['agenc', 'dimens', 'fil', 'rdv', 'possibl', 'brev', 'echeanc'];agenc dimens fil rdv possibl brev echeanc;-1
agence d incompetents tout les mois je doit me battre pour pouvoir percevoir mon are il y a toujours un probleme avec mon dossier comme par hasard au moment de verser l allocation    le mois dernier dossier cloture alors que je fait mon actualisation toujours en temps et en heure du coup je me retrouve ce moi ci sans aucune indemnite bref c est pas pole emploi mais pole emmerde avec eux;0;1;['agenc', 'incompetent', 'battr', 'percevoir', 'dossi', 'hasard', 'alloc', 'dossi', 'clotur', 'indemnit', 'emmerd'];agenc incompetent battr percevoir dossi hasard alloc dossi clotur indemnit emmerd;1
du grand n importe quoi pole emploi me demande de rembourser la somme de 344  qui ne m ont jamais verser  et soutiennent que je me suis engager a rembourser  la somme alors que je n est jamais rien signer  apres avoir envoyer mon relever de compte ou la somme n a jamais ete verser ils continuent de me mettre en demeure  c est de l escrocerie en bande organiser;0;1;['rembours', 'somm', '344', 'soutiennent', 'engag', 'rembours', 'somm', 'compt', 'somm', 'continuent', 'demeur', 'escrocer', 'band'];rembours somm 344 soutiennent engag rembours somm compt somm continuent demeur escrocer band;-1
se bien;1;0;[];;0
un espace public pour le secteur du tout valence    ;1;0;['valenc'];valenc;0
ne previennent meme pas lors des fermetures exceptionnelles  aucunes informations d afficher    ;1;0;['previennent', 'fermetur', 'exceptionnel'];previennent fermetur exceptionnel;0
catastrophique si vous etes un jeune en recherche d emploi bon courage on dit qu on est prioritaire qu on va nous  aider  c est un mensonge   j ai un dossier qui est bloque a cause d une erreur de pole emploi   et meme s ils le savent c est a vous de resoudre le probleme en sachant que vous ne pouvez rien faire sur le site est que quand vous allez a leur bureau il faut un rendez vous ou sinon ils vous disent d appeler le service telephonique  enfin bref vraiment tres decu et surtout on nous laisse seul et sens aucune explication on doit tout chercher nos reponses par nous meme   en sachant que si entre temps vous trouvez un travail comme moi en ce moment je n ai aucune horaire compatible pour soit appele soit prendre rendez vous donc on vous laisse dans le petrin est ces votre faute et jamaisla leur   ;0;1;['jeun', 'courag', 'prioritair', 'mensong', 'dossi', 'savent', 'resoudr', 'bureau', 'disent', 'servic', 'repons', 'horair', 'compatibl', 'petrin', 'jamaisl'];jeun courag prioritair mensong dossi savent resoudr bureau disent servic repons horair compatibl petrin jamaisl;1
je suis devant l agence depuis 8h30 il est 9h15 et ils ne sont toujours pas ouvert  ;1;0;['agenc', '8h30', '9h15', 'ouvert'];agenc 8h30 9h15 ouvert;0
ne previennent meme pas lors des fermetures exceptionnelles  aucunes informations d afficher    ;1;0;['previennent', 'fermetur', 'exceptionnel'];previennent fermetur exceptionnel;0
je demande un rendez  vous a ma conseillere  on me repond qu elle est en vacances    le moi d aprer je demande un rendez vous avec ma conseillere  et la elle est en vacances    aucun suivis   des offres d emploi qui n on rien a voir avec mes recherche  je suis cuisinier 12 ans d experience  les seul offres que je recois c est des poste de commis de cuisines    une honte  on dit que les gens ne veulent pas travailler  et bien se site pole emploi est la preuve de ces dires     c est une honte    j ai jamais vue un pole emploi aussi nul  il serai peut etre temps de revoir les effectifs     a croire que les gens qui travaillent la bas s en foutes de nous   je le redis c est une honte   mr motter cyril;0;1;['vacanc', 'aprer', 'vacanc', 'offre', 'cuisini', 'offre', 'comm', 'cuisin', 'veulent', 'dir', 'revoir', 'effect', 'travaillent', 'fout', 'red', 'mr', 'mott', 'cyril'];vacanc aprer vacanc offre cuisini offre comm cuisin veulent dir revoir effect travaillent fout red mr mott cyril;-1
voici pourquoi je met 1 etoile  impossible de mettre moins     pas de possibilite de joindre son ou sa conseillere par telephones ou par mails   les courriels et mails envoye restent sans reponses   les platformes d appels sont dans l incapacite d acceder a toute vos informations   il n est pas possible d avoir un rendez vous   il n est pas possible d entrer dans l agence meme aux horaires sans rendez vous   par concequent je me demande encor si pole emplois vernon est un genr de forteresse   une societe ecran   une communote occulte voulant vivre loins de toutes formes de communication exterieurs   ou peut etre renferment ils un tresors d une valeur insoupsonne dont nos vies de simples mortels en sucomberaient a la folie si nous venions a le decouvrir  et de ce fait  chercheraient ils donc a nous en premunires   j espere en obtenir les reponses un jour  mais cette quete vers la verite et la connaissance me semble vaine ;1;0;['voic', 'courriel', 'restent', 'repons', 'platform', 'incapacit', 'entrer', 'agenc', 'horair', 'concequent', 'encor', 'vernon', 'genr', 'forteress', 'ecran', 'communot', 'occult', 'exterieur', 'renferment', 'tresor', 'valeur', 'insoupson', 'vi', 'simpl', 'mortel', 'sucomb', 'fol', 'venion', 'decouvr', 'cherch', 'premunir', 'repons', 'quet', 'vain'];voic courriel restent repons platform incapacit entrer agenc horair concequent encor vernon genr forteress ecran communot occult exterieur renferment tresor valeur insoupson vi simpl mortel sucomb fol venion decouvr cherch premunir repons quet vain;-1
lamentable  on a beau essayer d appeler  on ne peu plus  car on a juste le droit a un repondeur  si on veux contacter sa conseillere  c est pareil on envoie des mails qui reste malheureusement tres souvent sans reponse  on veux un rendez vous avec sa conseillere et bien c est pas possible  il faut donc ce deplacer le matin quand il recois sans rendez vous et raler  c est vraiment de pire en pire  si je pouvais couper tout cela je le ferais  mais malheureusement je ne trouve que des cdd donc je suis bloquee ;1;0;['repondeur', 'contact', 'pareil', 'repons', 'ral', 'coup', 'cdd', 'bloque'];repondeur contact pareil repons ral coup cdd bloque;1
bah sa a pas change depuis que je suis partie  j aide m a tata pour ses papier  bizarre il son pas accepte alors que je regarde 3 fois avant de l envoyer merci du message alors que je sais comment utiliser un ordinateur et la plaforme pole emploi ce le pire;1;0;['bah', 'tat', 'bizarr', 'regard', 'plaform'];bah tat bizarr regard plaform;-1
ecouter une demarche du client et le conseiller c est possible   non  plusieurs avis sur un trop percu  je comprends mieux la gestion desorganisee des dossiers ;1;0;['demarch', 'gestion', 'desorganise', 'dossi'];demarch gestion desorganise dossi;1
comment prendre rendez vous   je ne trouve pas sur le site  j ai lu que je devais prevoir un rdv le lendemain de la fin de mon contrat pour etre sure d avoir mes droits ;1;0;['lu', 'prevoir', 'rdv', 'lendemain', 'contrat', 'sur'];lu prevoir rdv lendemain contrat sur;2
certains personnes essayent de faire le necessaire    mais au niveaux informatique il y a des barrieres a la bonne synchronisation    ce qui mene a des problemes techniques rendent difficile de mener a bon terme leur dossier  je suis aller et de me plaindre des courriers necessaire  ou de l obtention d un code par mail  en lieux de le avoir par presentation de ma carte d identite j ai recu une plainte  comme que j ai tenue des propos desobligeants   je leur aurait dit a quelle point est defavorable autant de mauvais funtionements  lies a seulement l usage d un code qui peut etre donne personnellement a vrai dire je me sens blaise  mais ce n est rien de etre transparent quand on est etrange  dans une administration qui va de travers perdon qui est defaut ;1;0;['person', 'essayent', 'niveau', 'barrier', 'synchronis', 'techniqu', 'rendent', 'dossi', 'plaindr', 'courri', 'obtent', 'lieux', 'identit', 'plaint', 'tenu', 'desoblig', 'defavor', 'mauv', 'funtion', 'li', 'usag', 'personnel', 'blais', 'transparent', 'etrang', 'administr', 'traver', 'perdon', 'defaut'];person essayent niveau barrier synchronis techniqu rendent dossi plaindr courri obtent lieux identit plaint tenu desoblig defavor mauv funtion li usag personnel blais transparent etrang administr traver perdon defaut;1
ne repond jamais aux mails et me demande de rembourser des choses deja remboursees ;1;0;['rembours', 'rembourse'];rembours rembourse;-1
en contentieux avec cette agence  manque de coherence dans les modalites et les montants d indemnisations dues en fonction des conseillers  et sur les montants verses egalement  en discorde parallelement sur des prestations non remunerees  et couplees a des pratiques non etiques effectuees pour l amelioration de leur plateforme  a suivre ;1;0;['contenti', 'agenc', 'coherent', 'modalit', 'indemnis', 'du', 'discord', 'parallel', 'remunere', 'couple', 'pratiqu', 'etiqu', 'plateform'];contenti agenc coherent modalit indemnis du discord parallel remunere couple pratiqu etiqu plateform;-1
je suis inscrite dans cette agence depuis plus de deux ans et en deux ans je n ai vu qu une fois ma conseillere  n attendez pas d eux qu ils vous aident  c est tout le contraire   jamais ma conseillere ne m a contactee en deux ans  edit du 7 12 2020  l adresse du 8 rue bernard buffet est fausse  on arrive devant une sortie de parking;1;0;['inscrit', 'agenc', 'attend', 'aident', 'contacte', 'edit', 'ru', 'bernard', 'buffet', 'parking'];inscrit agenc attend aident contacte edit ru bernard buffet parking;1
je suis passe aujourd hui le 12 10 2020 a 12h  je constate de bon changement       toute l equipe aux services des demandeurs d emploi et a l ecoute  des initiatives remarquables que j apprecie et j encourage  aussi les responsables interviennent a l accueil des personnes    vous etes au top  bon courage     je me rends a cette agence le lundi 13 07 2020 j appelle sur l interphone aucune reponse  l agence semble fermee pour le pont vu le 14 07 c est ferie  aucune information afficher  la matinee avec presence de 10 personnes pour des renseignements et l envoi des pieces demandees;1;0;['12h', 'equip', 'servic', 'initi', 'remarqu', 'apprec', 'encourag', 'respons', 'interviennent', 'person', 'top', 'courag', 'agenc', 'lund', '13', '07', 'interphon', 'repons', 'agenc', 'ferme', 'pont', '14', '07', 'matine', 'presenc', 'person', 'demande'];12h equip servic initi remarqu apprec encourag respons interviennent person top courag agenc lund 13 07 interphon repons agenc ferme pont 14 07 matine presenc person demande;1
je remercie l equipe de cette agence pole emploi pour sa disponibilite et sa reactivite   n hesitez pas a les contacter par telephone  meme si l attente est de 15 minutes  ou a vous deplacer car il ya trop de delais pour le traitement des emails   de plus  l espace personnel en ligne est dysfonctionnel et peut rapidemment decourager a faire valoir ses droits ;1;1;['equip', 'agenc', 'disponibilit', 'reactivit', 'hesit', 'contact', 'ya', 'personnel', 'dysfonctionnel', 'rapident', 'decourag', 'valoir'];equip agenc disponibilit reactivit hesit contact ya personnel dysfonctionnel rapident decourag valoir;1
attention a cette agence  quand vous durcissez le ton pour exiger un suivi  vous faites face a des appels anonymes menacants  des falsifications de pieces informatiques  parfaitement illegale  et recemment j ai decouvert que quelqu un allait sur mon espace personnel pour y scanner des pieces a mon insu  je garde le max de preuves pour saisir la justice a ce sujet  je ne vais pas me gener   sinon en terme de services je voudrais mettre zero  administration aussi mediocre qu inutile   j invite els gens a contacter mediapart pour denoncer quand vous rencontrez des problemes avec ces gens la   c est bien que ca se sache;0;1;['agenc', 'durc', 'fac', 'anonym', 'falsif', 'illegal', 'recent', 'decouvert', 'allait', 'personnel', 'insu', 'gard', 'max', 'preuv', 'justic', 'servic', 'voudr', 'administr', 'mediocr', 'invit', 'el', 'contact', 'mediapart', 'denonc', 'sach'];agenc durc fac anonym falsif illegal recent decouvert allait personnel insu gard max preuv justic servic voudr administr mediocr invit el contact mediapart denonc sach;2
